tri;annee;perimetre_juridique;legal_perimeter;perimetre_spatial;spatial_perimeter;filiere;sector;type_d_energie;type_of_energy;capacite_maximale_de_production;unite;methode_de_consolidation;consolidation_method
1;2022;Groupe EDF;EDF group;Afrique du Sud;South Africa;Éolien;Wind;Électrique;Electric;73.143;MWe;Nette;Net
2;2022;Groupe EDF;EDF group;Allemagne;Germany;Hydraulique;Hydraulic;Électrique;Electric;75.5;MWe;Nette;Net
3;2022;Groupe EDF;EDF group;Allemagne;Germany;Éolien;Wind;Électrique;Electric;173.685383716855;MWe;Nette;Net
4;2022;Groupe EDF;EDF group;Belgique;Belgium;Nucléaire;Nuclear;Électrique;Electric;697.8708;MWe;Nette;Net
5;2022;Groupe EDF;EDF group;Belgique;Belgium;Gaz;Gas;Électrique;Electric;828.91314;MWe;Nette;Net
6;2022;Groupe EDF;EDF group;Belgique;Belgium;Hydraulique;Hydraulic;Électrique;Electric;45.851703;MWe;Nette;Net
7;2022;Groupe EDF;EDF group;Belgique;Belgium;Éolien;Wind;Électrique;Electric;452.463602;MWe;Nette;Net
8;2022;Groupe EDF;EDF group;Belgique;Belgium;Solaire;Solar;Électrique;Electric;0.2251064;MWe;Nette;Net
9;2022;Groupe EDF;EDF group;Belgique;Belgium;Fioul;Fioul;Chaleur;Heat;10.01998;MWth;Nette;Net
10;2022;Groupe EDF;EDF group;Belgique;Belgium;Gaz;Gas;Chaleur;Heat;36.71705;MWth;Nette;Net
11;2022;Groupe EDF;EDF group;Brésil;Brazil;Gaz;Gas;Électrique;Electric;826.8;MWe;Nette;Net
12;2022;Groupe EDF;EDF group;Brésil;Brazil;Hydraulique;Hydraulic;Électrique;Electric;204.96;MWe;Nette;Net
13;2022;Groupe EDF;EDF group;Brésil;Brazil;Éolien;Wind;Électrique;Electric;526.45;MWe;Nette;Net
14;2022;Groupe EDF;EDF group;Brésil;Brazil;Solaire;Solar;Électrique;Electric;199.2625;MWe;Nette;Net
15;2022;Groupe EDF;EDF group;Canada;Canada;Éolien;Wind;Électrique;Electric;653.59;MWe;Nette;Net
16;2022;Groupe EDF;EDF group;Canada;Canada;Solaire;Solar;Électrique;Electric;42.4;MWe;Nette;Net
17;2022;Groupe EDF;EDF group;République populaire de Chine;China;Nucléaire;Nuclear;Électrique;Electric;1050.0;MWe;Nette;Net
